ticker,statement_type,report_level,fiscal_date,currency,account_name,amount,source_system,load_time
IBM,income_statement,annual,2025-12-31,USD,grossProfit,40185000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2025-12-31,USD,totalRevenue,67535000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2025-12-31,USD,costOfRevenue,27350000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2025-12-31,USD,costofGoodsAndServicesSold,27350000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2025-12-31,USD,operatingIncome,10325000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2025-12-31,USD,sellingGeneralAndAdministrative,18285000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2025-12-31,USD,researchAndDevelopment,8320000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2025-12-31,USD,operatingExpenses,29860000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2025-12-31,USD,netInterestIncome,-1290000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2025-12-31,USD,interestIncome,645000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2025-12-31,USD,interestExpense,1935000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2025-12-31,USD,depreciationAndAmortization,5021000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2025-12-31,USD,incomeBeforeTax,10328000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2025-12-31,USD,incomeTaxExpense,-242000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2025-12-31,USD,netIncomeFromContinuingOperations,10571000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2025-12-31,USD,ebit,12263000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2025-12-31,USD,ebitda,17284000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2025-12-31,USD,netIncome,10593000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2024-12-31,USD,grossProfit,35551000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2024-12-31,USD,totalRevenue,62753000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2024-12-31,USD,costOfRevenue,27201000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2024-12-31,USD,costofGoodsAndServicesSold,27201000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2024-12-31,USD,operatingIncome,10074000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2024-12-31,USD,sellingGeneralAndAdministrative,16737000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2024-12-31,USD,researchAndDevelopment,7479000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2024-12-31,USD,operatingExpenses,25478000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2024-12-31,USD,netInterestIncome,-965000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2024-12-31,USD,interestIncome,747000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2024-12-31,USD,interestExpense,1712000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2024-12-31,USD,depreciationAndAmortization,4667000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2024-12-31,USD,incomeBeforeTax,5797000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2024-12-31,USD,incomeTaxExpense,-218000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2024-12-31,USD,netIncomeFromContinuingOperations,6015000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2024-12-31,USD,ebit,7509000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2024-12-31,USD,ebitda,12176000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2024-12-31,USD,netIncome,6023000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2023-12-31,USD,grossProfit,34300000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2023-12-31,USD,totalRevenue,61860000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2023-12-31,USD,costOfRevenue,27560000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2023-12-31,USD,costofGoodsAndServicesSold,27560000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2023-12-31,USD,operatingIncome,7514000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2023-12-31,USD,sellingGeneralAndAdministrative,17952000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2023-12-31,USD,researchAndDevelopment,6631000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2023-12-31,USD,operatingExpenses,26786000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2023-12-31,USD,netInterestIncome,-924000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2023-12-31,USD,interestIncome,591000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2023-12-31,USD,interestExpense,1607000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2023-12-31,USD,depreciationAndAmortization,4395000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2023-12-31,USD,incomeBeforeTax,8690000000.0,AlphaVantage,2026-04-17T15:16:04
IBM,income_statement,annual,2023-12-31,USD,incomeTaxExpense,1176000000.0,AlphaVantage,2026-04-17T15:16:04
