ticker,period_key,revenue,net_profit,revenue_mom_pct,dso,dio,dpo,ccc
IBM,2025-12,19686000000.0,5600000000.0,0.2054,327.0464,58.8476,229.4093,156.4847
MANUAL,1970-01,5854.0,0.0,0.0,0.0,,,
